สถานที่,จุดเด่น,ที่อยู่,วันที่เปิดทำการ,เวลาเปิดทำการ,รายละเอียดเพิ่มเติม,บูชา,ภาพสถานที่,หมวดหมู่
วัดบรมราชากาญจนาภิเษกอนุสรณ์,ที่ประดิษฐานของพระกวนอิมโพธิสัตว์องค์ขนาดใหญ่ที่เปิดให้เราได้เข้าไปกราบไหว้ขอพร เสริมความเป็นสิริมงคลให้แก่ชีวิตในวันขึ้นปีใหม่ที่กำลังมาถึงนี้ ,79 หมู่ 4 โสนลอย บางบัวทอง นนทบุรี 11110,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-18.00 น.,-,ธูปหอม 12 ดอก ดอกบัวขาว 3 ดอก สร้อยไข่มุก 1 เส้น,https://drive.google.com/file/d/1rIAHWXgqGSqEF9f4P4yREPJPiJV5Bozy/view?usp=sharing,เสริมดวง
วัดพนัญเชิงวรวิหาร,บริเวณสถานที่แห่งนี้เป็นวัดอันเก่าแก่ที่ถูกสร้างขึ้นตั้งแต่สมัยกรุงศรีอยุธยา และเป็นที่ประดิษฐานของพระพุทธรูปไตรรัตนนายก หรือ องค์หลวงพ่อโต ,หมู่ 2 ตำบลคลองสวนพลู อำเภอพระนครศรีอยุธยา จังหวัดพระนครศรีอยุธยา,"จ,อ,พ,พฤ,ศ,ส,อา ",07.00-18.00 น.,-,ธูป 3 ดอก เทียนแดงคู่ และดอกไม้พวงมาลัย,https://drive.google.com/file/d/1OmEt-Psk85IvjFNLI_1oh0pd7TmC48MH/view?usp=drive_link,เสริมดวง
วัดพระศรีรัตนศาสดาราม,ภายในประดิษฐาน “พระพุทธมหามณีรัตนปฏิมากร” หรือ “พระแก้วมรกต” สิ่งศักดิ์สิทธิ์คู่บ้านคู่เมืองของประเทศไทย วัดแห่งนี้จึงจัดว่าเป็นวัดคู่บ้านคู่เมืองของประเทศไทยด้วยเช่นกัน จึงเชื่อกันว่า ใครที่ได้มากราบไหว้สักการะที่นี่จะมีจิตใจที่บริสุทธิ์สะอาด ดุจพระรัตนตรัย,เขตพระบรมมหาราชวัง เขตพระราชฐานชั้นนอก ทางทิศตะวันออก ติดท้องสนามหลวง แขวงพระบรมมหาราชวัง เขตพระนคร กรุงเทพมหานคร,"จ,อ,พ,พฤ,ศ,ส,อา ",08.30-15.30 น.,-,ธูป 3 ดอก และดอกไม้พวงมาลัย,https://drive.google.com/file/d/1gQWBIURP6DI9nUBZGyqYH_Te-t4baE0I/view?usp=drive_link,เสริมดวง
วัดไตรมิตรวิทยารามวิหาร,กราบไหว้สิ่งศักดิ์สิทธิ์ภายในวัดซึ่งเป็นองค์พระพุทธรูปหล่อทองคำที่ถูกสร้างมากว่า 100 ปีโดยคนไทยเชื้อสายจีนส่วนในย่านเยาวราชแห่งนี้นิยมเดินทางมาเพื่อกราบไหว้ขอพรสิ่งศักดิ์สิทธิ์ให้ช่วยเสริมสร้างดวงชะตาและช่วยปกปักรักษาคุ้มครองให้เราพบเจอแต่สิ่งดี ๆ,661 ถนนเจริญกรุง แขวงตลาดน้อย เขตสัมพันธวงศ์ กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00-17.00 น. ,คนไทยฟรี ต่างชาติคนละ 500 บาท,ธูป 3 ดอก เทียนแดงคู่ และดอกไม้พวงมาลัย,https://drive.google.com/file/d/1QefrZYN34QKdLPM1l0quEqSX-cb1ufwR/view?usp=drive_link,เสริมดวง
วัดยานนาวา,"การไปสักการะขอพร ""สำเภายานนาวา""",พระอารามหลวง ถนนเจริญกรุง แขวงยานนาวา เขตสาทร กรุงเทพมหานคร,"จ,อ,พ,พฤ,ศ,ส,อา ",08.30 – 17.00 น.,-,ธูป 3 ดอก เทียนแดงคู่ และดอกไม้พวงมาลัย,https://drive.google.com/file/d/1IgU3uUIUjcSMQfSwmBQ0dd22Lb5YiyGI/view?usp=drive_link,เสริมดวง
ศาลเจ้าพ่อกวนอู,ประดิษฐานขององค์เทพเจ้ากวนอู ผู้ซึ่งมีความซื่อสัตย์ กตัญญู และมีความเป็นมิตรจึงทำให้คนจีนส่วนใหญ่ให้ความเคารพและนับถือเป็นอย่างมาก ,ซอยสมเด็จเจ้าพระยา 3 แขวงสมเด็จเจ้าพระยา เขตคลองสาน กรุงเทพมหานคร,"จ,อ,พ,พฤ,ศ,ส,อา ",09.00-17.00 น.,-,ธูปจำนวน 3 ดอก เทียนแดง ตั่วกิม หรือ คอซี้(กระดาษทองลักษณะขอบเป็นสีส้ม เป็นรูปทองแท่งและเงินจีน) พร้อมธง 1 ชุด เง็งเตี๋ย หรือ หงิ่งเตี๋ย / งิ่งเตี๋ย (กระดาษเงิน กระดาษทอง) จำนวน 12 แผ่น เพ้ากวนอู (เสื้อผ้า เครื่องทรงกระดาษเจ้าพ่อกวนอู 1 ชุด) ซาแซ หมู ปลา เป็ด ห้ามนำ ไก่ มา บูชาเทพเจ้ากวนอู เด็ดขาด ผลไม้ 3 ชนิด และชนิดที่จำเป็นต้องมีก็คือส้ม 5 ผล พวงมาลัย น้ำชาและสุราอย่างน้อย 3 ถ้วย น้ำมัน 1 ขวด,https://drive.google.com/file/d/1r_NDIulJx4HPd5of7ebvpikh5wugYrZf/view?usp=drive_link,เสริมดวง
มูลนิธิเทียนฟ้า - เยาวราช,ศาลเจ้าแม่กวนอิม ,606 ซุ้มประตูเฉลิมพระเกียรติ ถนนเยาวราช เขตสัมพันธวงศ์ กรุงเทพฯ 10100,"จ,อ,พ,พฤ,ศ,ส,อา ",00.00-23.59 น.,-,ให้ไหว้ด้วยดอกบัวสีชมพู หรือขาว 9 ดอก 2. ธูป 9 ดอก 3. เทียน 2 เล่ม 4. ส้มและสาลี่ อย่างละ 4 ผล สามารถเพิ่มผลไม้อะไรก็ได้ ยกเว้นมะม่วง มังคุด และพุทรา,https://drive.google.com/file/d/1tGNFi3GAlQDCgYvBFOf1mH3OPLdBERVZ/view?usp=drive_link,เสริมดวง
วัดชนะสงคราม,เสริมดวงการเดินทาง ชนะอุปสรรค,ถ.จักรพงษ์ เขตพระนคร,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-18.00 น.,-,"พวงมาลัย, ธูป, เทียน",https://drive.google.com/file/d/1VZh9MpPfEUjkgoXpvCJJtsjDVsN4Ody0/view?usp=sharing,เดินทาง
วัดระฆังโฆสิตารามวรมหาวิหาร,เสริมบารมี เสริมดวงก่อนเดินทาง,ถ.อรุณอมรินทร์ เขตบางกอกน้อย,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-18.00 น.,-,"ธูป, เทียน, พวงมาลัย",https://drive.google.com/file/d/16zIQc_7WKSebGkLr597gCOX-cU8o-5Ux/view?usp=sharing,เดินทาง
วัดสุทัศน์เทพวราราม,เสริมบารมี โชคดีระหว่างเดินทาง,ถ.บำรุงเมือง เขตพระนคร,"จ,อ,พ,พฤ,ศ,ส,อา ",08:00 - 16:30 น.,-,"ธูป, เทียน, ดอกไม้",https://drive.google.com/file/d/1raRxQRcN4lr8rgSMrYrlgtT8GpROwaw2/view?usp=sharing,เดินทาง
วัดไตรมิตรวิทยาราม,เสริมการเดินทางและความสำเร็จ,ถ.เจริญกรุง เขตสัมพันธวงศ์,"จ,อ,พ,พฤ,ศ,ส,อา ",05:00 - 17:00 น.,-,"เทียนขี้ผึ้ง, ดอกไม้",https://drive.google.com/file/d/1oKBCRsjrMVEEAKw6m05jBlJc9tk-CgmE/view?usp=sharing,เดินทาง
วัดบวรนิเวศวิหาร,เสริมดวงการเดินทาง ป้องกันภัย,ถ.พระสุเมรุ เขตพระนคร,"จ,อ,พ,พฤ,ศ,ส,อา ", 06.00-18.00 น.,-,"ดอกบัว, พวงมาลัย",https://drive.google.com/file/d/1tTBaJkVAS_nSQXGnemuJdttSx0M9Hk-e/view?usp=sharing,เดินทาง
วัดราชบพิธสถิตมหาสีมาราม,เสริมเสริมดวง ปลอดภัยจากอุปสรรค,ถ.เฟื่องนคร เขตพระนคร,"จ,อ,พ,พฤ,ศ,ส,อา ", 06.00-18.00 น.,-,"ธูป, เทียน, ดอกไม้",https://drive.google.com/file/d/1fYfbiDzs1DzoUAeH9rZDgWkM0wdpOCDy/view?usp=sharing,เดินทาง
วัดเทพศิรินทราวาส,เสริมมงคลก่อนเดินทางออกต่างประเทศ,ถ.กรุงเกษม เขตป้อมปราบศัตรูพ่าย,"จ,อ,พ,พฤ,ศ,ส,อา ",05:00 - 18:00 น.,-,"ธูป, เทียน, พวงมาลัย",https://drive.google.com/file/d/19q8sf6WJxKorT-bZC-zCHkxx3UTpnoKS/view?usp=sharing,เดินทาง
