ชื่อเครื่องราง,ภาพ,พิกัดขาย,ประเภทเครื่องราง,ความเชื่อ,วัสดุที่ใช้,ปีที่สร้าง,พิธีปลุกเสก,วัตถุประสงค์การใช้งาน,ราคาโดยประมาณ,ความนิยม,ความเกี่ยวข้องกับบุคคลสำคัญ,หมวดหมู่,,
พระขุนแผนเสน่ห์,,วัดบ้านกร่าง,พระเครื่อง,เสริมการงานและโชคลาภ,ผงพุทธคุณ,2548,ปลุกเสกโดยหลวงพ่อทิม,พกติดตัว,"15,000+",สูง,,การงาน,,
ตะกรุดยันต์เกราะเพชร,https://drive.google.com/file/d/1JF9DznvPz_GE2TqZsSgTxzKvjgoQPb6i/view?usp=drive_link,วัดราชบพิธสถิตมหาสีมาราม,ตะกรุด,ป้องกันภัย ป้องกันอันตราย,"เงิน, ทองแดง",2550,พิธีปลุกเสกโดยสมเด็จพระสังฆราช,พกติดตัวเพื่อป้องกันอันตราย,"5,000+",กลาง,สมเด็จพระสังฆราช (ช่วง),เสริมดวง,,
ตะกรุดมหาอำนาจ,https://drive.google.com/file/d/116snKvrZUenSEKnbrcUueMdQB5uUmc_w/view?usp=drive_link,วัดปทุมวนาราม,ตะกรุด,เสริมบารมี อำนาจ,ทองแดง,2548,พิธีปลุกเสกใหญ่,พกติดตัวเพื่อเสริมอำนาจ,"7,000+",กลาง,หลวงพ่อปาน,เสริมดวง,,
พระปิดตา,https://drive.google.com/file/d/1JbY30Px5UvdiJhsTmzrwEz4vQQ_ETIgo/view?usp=drive_link,วัดท่าพระ,พระเครื่อง,ป้องกันภัย ป้องกันวิบากกรรม,เนื้อผงพุทธคุณ,2500,ปลุกเสกโดยหลวงปู่โต๊ะ,บูชาที่บ้านเพื่อป้องกันภัย,"60,000+",สูง,หลวงปู่โต๊ะ,เสริมดวง,,
พระแก้วมรกตจำลอง,https://drive.google.com/file/d/1Bp2oX7m2EwWNp9kxSutpnTOdph_hwff5/view?usp=sharing,"วัดพระแก้ว, กรุงเทพ",พระเครื่อง,เสริมดวงชะตา ปัดเป่าสิ่งชั่วร้าย,แก้วมรกต,2540,ปลุกเสกพิธีใหญ่โดยพระเกจิ,ตั้งบูชาที่บ้านหรือพกติดตัว,"10,000+",สูง,รัชกาลที่ 1,เสริมดวง,,
ตะกรุดดวงมหาเศรษฐี,https://drive.google.com/file/d/1FA7lRZ0aZEM7yqGMYiHP-1IHpxdBJIf1/view?usp=sharing,"วัดป่าคำชะโนด, อุดรธานี",ตะกรุด,เสริมดวงชะตา โชคลาภ รุ่งเรือง,"ทองแดง, เงิน",2550,ปลุกเสกโดยหลวงพ่อแช่ม,พกติดตัวเพื่อเสริมดวงชะตา,"7,000+",กลาง,หลวงพ่อแช่ม,เสริมดวง,,
พระพุทธโสธร,https://drive.google.com/file/d/1NXmji4FY_71Fc2Fi3zzpk0DTcVV0CRML/view?usp=sharing,"วัดโสธรวราราม, ฉะเชิงเทรา",พระเครื่อง,เสริมดวงชะตา ความสงบสุข,เนื้อทองคำ,2530,ปลุกเสกโดยพระเกจิดัง,ตั้งบูชาที่บ้านหรือพกติดตัว,"20,000+",สูง,รัชกาลที่ 5,เสริมดวง,,
ตะกรุดพระเจ้าตากสินมหาราช,https://drive.google.com/file/d/1sIPD913t_jNevvRmsx9nRM6AJShhfWXn/view?usp=sharing,"ศาลสมเด็จพระเจ้าตากสิน, กรุงเทพ",ตะกรุด,เสริมบารมี ป้องกันภัย,ทองแดง,2545,ปลุกเสกโดยพระเกจิอาจารย์ดัง,พกติดตัวเพื่อเสริมบารมีและโชคลาภ,"5,000+",สูง,พระเจ้าตากสินมหาราช,เสริมดวง,,
ลูกอมหลวงพ่อปาน,https://drive.google.com/file/d/1fBBgmrjlMg_mF60yWKOHbeQRBc6sWySG/view?usp=sharing,"วัดบางนมโค, อยุธยา",ลูกอม,ป้องกันภัย เสริมดวงชะตา,เนื้อผงพุทธคุณ,2520,ปลุกเสกโดยหลวงพ่อปาน,พกติดตัวเพื่อเสริมดวงชะตา,"8,000+",สูง,หลวงพ่อปาน,เสริมดวง,,
ตะกรุดเพชรหลีก,https://drive.google.com/file/d/1NVR89gJf4cokLexajRAPiy1ZL2WArX8R/view?usp=sharing,"วัดสุทัศนเทพวราราม, กรุงเทพ",ตะกรุด,เสริมดวงชะตา ป้องกันภัย,"ทองคำ, ทองแดง",2555,ปลุกเสกพิธีใหญ่โดยพระเกจิ,พกติดตัวเพื่อเสริมดวงชะตา,"6,500+",กลาง,สมเด็จพระสังฆราช,เสริมดวง,,
แหวนนพเก้า,https://drive.google.com/file/d/1PLGm3wjvt13HphuZJG-Kym7ofiCsI2gj/view?usp=sharing,"วัดบวรนิเวศวิหาร, กรุงเทพ",เครื่องประดับมงคล,เสริมดวงชะตา โชคลาภ,"ทองคำ, พลอยนพเก้า",2548,ปลุกเสกโดยสมเด็จพระสังฆราช,สวมใส่เพื่อเสริมดวงชะตา,"15,000+",สูง,สมเด็จพระสังฆราช (ช่วง),เสริมดวง,,
เหรียญหลวงปู่ทวดรุ่นแรก,https://drive.google.com/file/d/1ImtJ7LSLqLRRirfoc-DD1kFB6nd33Mib/view?usp=sharing,"วัดช้างให้, ปัตตานี",พระเครื่อง,เสริมดวงชะตา ป้องกันภัย,ทองคำ,2505,ปลุกเสกโดยหลวงปู่ทวด,พกติดตัวเพื่อป้องกันภัยและเสริมดวง,"50,000+",สูง,หลวงปู่ทวด,เสริมดวง,,
กำไลหยกมหามงคล,https://drive.google.com/file/d/1KK7f0nQzD9DNjDO263y1PPEhgy00eakk/view?usp=sharing,"ศาลเจ้าพ่อเสือ, กรุงเทพ",เครื่องรางหยก,เสริมดวงชะตา ป้องกันสิ่งไม่ดี,หยก,2560,ปลุกเสกในพิธีบวงสรวง,สวมใส่เพื่อเสริมดวงชะตา,"3,000+",กลาง,,เสริมดวง,,
พระปิดตานำโชค,https://drive.google.com/file/d/1uWD2_-8mPurldxHF6HAXW5dImtxnLLVb/view?usp=sharing,"วัดระฆังโฆสิตาราม, กรุงเทพ",พระเครื่อง,เสริมดวงชะตา ป้องกันสิ่งไม่ดี,เนื้อผงพุทธคุณ,2542,ปลุกเสกพิธีใหญ่โดยหลวงพ่อเกจิ,พกติดตัวหรือบูชาที่บ้าน,"6,000+",สูง,สมเด็จโต พรหมรังสี,เสริมดวง,,13 รูป
ตะกรุดมหาโชค,,วัดแค,ตะกรุด,เสริมโชคลาภ,เงิน,2552,ปลุกเสกโดยหลวงพ่อฤๅษี,พกติดตัว,"4,000+",กลาง,หลวงพ่อฤๅษี,เสริมดวง,,
พระราหู,,วัดราหู,พระเครื่อง,เสริมการงาน โชคลาภ,เนื้อผง,2543,ปลุกเสกโดยหลวงพ่อพูล,บูชาที่บ้าน,"12,000+",สูง,หลวงพ่อพูล,เสริมดวง,,
เหรียญเจ้าสัว,,วัดพระแก้ว,เหรียญ,เสริมโชคลาภ,ทองแดง,2555,ปลุกเสกพิธีใหญ่,ตั้งบูชาที่บ้าน,"8,000+",สูง,พระเกจิดัง,เสริมดวง,,
ตะกรุดเงินทอง,,วัดหนองบัว,ตะกรุด,เสริมโชคลาภ,"ทองคำ, เงิน",2551,ปลุกเสกโดยหลวงพ่อเกษม,พกติดตัว,"6,500+",กลาง,หลวงพ่อเกษม,เสริมดวง,,
พระพุทธชินราช,,วัดพระศรีรัตนมหาธาตุ,พระเครื่อง,เสริมความมั่งคั่ง,เนื้อทองคำ,2525,ปลุกเสกโดยหลวงปู่ทวด,ตั้งบูชาที่บ้าน,"25,000+",สูง,หลวงปู่ทวด,เสริมดวง,,
ตะกรุดเกษตร,,วัดเกษตร,ตะกรุด,เสริมโชคลาภ,"เงิน, ทองแดง",2557,ปลุกเสกโดยหลวงพ่อบุญมี,พกติดตัว,"3,500+",ต่ำ,หลวงพ่อบุญมี,เสริมดวง,,
เหรียญพญานาค,,วัดพญานาค,เหรียญ,ป้องกันภัย,ทองแดง,2549,ปลุกเสกพิธีใหญ่,ตั้งบูชาที่บ้าน,"9,000+",กลาง,พระเกจิอาจารย์,เสริมดวง,,
พระกริ่งเจริญพร,,วัดญาณเสน,พระเครื่อง,เสริมดวงชะตา,เนื้อทอง,2558,ปลุกเสกโดยหลวงพ่อสำเร็จ,บูชาที่บ้าน,"18,000+",สูง,หลวงพ่อสำเร็จ,เสริมดวง,,
ตะกรุดขุมทรัพย์,,วัดตะเคียน,ตะกรุด,เสริมการเงิน,เงิน,2560,ปลุกเสกโดยหลวงพ่อทวี,พกติดตัว,"7,000+",กลาง,หลวงพ่อทวี,เสริมดวง,,
พระองค์แสน,,วัดพระองค์แสน,พระเครื่อง,เสริมโชคลาภ,เนื้อทองคำ,2540,ปลุกเสกโดยพระเกจิ,ตั้งบูชาที่บ้าน,"30,000+",สูง,พระเกจิ,เสริมดวง,,
ตะกรุดเสริมชัย,,วัดพิมพ์,ตะกรุด,เสริมความสำเร็จ,เงิน,2554,ปลุกเสกพิธีใหญ่,พกติดตัว,"5,500+",กลาง,หลวงพ่อเสริม,เสริมดวง,,
เหรียญพระเจ้าตากสิน,,วัดเจ้าตาก,เหรียญ,เสริมบารมี,ทองแดง,2556,ปลุกเสกโดยหลวงพ่อทวี,ตั้งบูชาที่บ้าน,"11,000+",สูง,หลวงพ่อทวี,เสริมดวง,,
พระพุทธอังคาร,,วัดทอง,พระเครื่อง,เสริมโชคลาภ,เนื้อผงพุทธคุณ,2542,ปลุกเสกโดยพระเกจิ,บูชาที่บ้าน,"14,000+",สูง,พระเกจิ,เสริมดวง,,
ตะกรุดทวีกำไร,,วัดทวี,ตะกรุด,เสริมการเงิน,"เงิน, ทองแดง",2559,ปลุกเสกโดยหลวงพ่อเชิด,พกติดตัว,"4,500+",กลาง,หลวงพ่อเชิด,เสริมดวง,,
เหรียญหลวงพ่อเกษม,,วัดเกษม,เหรียญ,เสริมดวงชะตา,ทองแดง,2547,ปลุกเสกพิธีใหญ่,ตั้งบูชาที่บ้าน,"12,000+",สูง,หลวงพ่อเกษม,เสริมดวง,,
พระปิดตามหาลาภ,,วัดปิดตา,พระเครื่อง,เสริมโชคลาภ,เนื้อผง,2544,ปลุกเสกโดยหลวงพ่อพูน,บูชาที่บ้าน,"8,000+",สูง,หลวงพ่อพูน,เสริมดวง,,
ตะกรุดโภคทรัพย์,,วัดโภคทรัพย์,ตะกรุด,เสริมการเงิน,ทองแดง,2553,ปลุกเสกพิธีใหญ่,พกติดตัว,"6,500+",กลาง,หลวงพ่อโภค,เสริมดวง,,
เหรียญอาจารย์มั่น,,วัดอาจารย์มั่น,เหรียญ,เสริมการงาน,ทองแดง,2561,ปลุกเสกโดยพระเกจิ,ตั้งบูชาที่บ้าน,"9,500+",สูง,พระเกจิ,เสริมดวง,,
พระปิดตาโชคลาภ,,วัดโชคลาภ,พระเครื่อง,เสริมโชคลาภ,เนื้อผงพุทธคุณ,2552,ปลุกเสกโดยหลวงพ่อทอง,บูชาที่บ้าน,"7,500+",กลาง,หลวงพ่อทอง,เสริมดวง,,
ตะกรุดเงินล้าน,,วัดเงินล้าน,ตะกรุด,เสริมการเงิน,เงิน,2558,ปลุกเสกพิธีใหญ่,พกติดตัว,"10,000+",สูง,หลวงพ่อเงิน,เสริมดวง,,
เหรียญหลวงพ่อสุโขทัย,,วัดสุโขทัย,เหรียญ,เสริมโชคลาภ,ทองแดง,2541,ปลุกเสกโดยหลวงพ่อสุโขทัย,ตั้งบูชาที่บ้าน,"8,000+",กลาง,หลวงพ่อสุโขทัย,เสริมดวง,,
พระอาจารย์มั่น,,วัดอาจารย์มั่น,พระเครื่อง,เสริมดวงชะตา,เนื้อทองคำ,2554,ปลุกเสกโดยพระอาจารย์มั่น,บูชาที่บ้าน,"18,000+",สูง,พระอาจารย์มั่น,เสริมดวง,,
ตะกรุดมหาเศรษฐี,,วัดเศรษฐี,ตะกรุด,เสริมโชคลาภ,ทองคำ,2550,ปลุกเสกโดยหลวงพ่อเศรษฐี,พกติดตัว,"12,000+",สูง,หลวงพ่อเศรษฐี,เสริมดวง,,
เหรียญหนุมาน,,วัดหนุมาน,เหรียญ,ป้องกันภัย,ทองแดง,2546,ปลุกเสกพิธีใหญ่,ตั้งบูชาที่บ้าน,"10,000+",กลาง,หลวงพ่อหนุมาน,เสริมดวง,,
พระปิดตาพิชิตโชค,,วัดปิดตา,พระเครื่อง,เสริมโชคลาภ,เนื้อผง,2543,ปลุกเสกโดยหลวงพ่อพูน,บูชาที่บ้าน,"7,000+",สูง,หลวงพ่อพูน,เสริมดวง,,
พระสังกัจจายน์,,วัดสังกัจจายน์,พระเครื่อง,เสริมการงาน โชคลาภ,เนื้อทองคำ,2553,ปลุกเสกโดยหลวงพ่อเพิ่ม,บูชาที่บ้าน,"15,000+",สูง,หลวงพ่อเพิ่ม,เสริมดวง,,
ตะกรุดทรัพย์โชค,,วัดทรัพย์โชค,ตะกรุด,เสริมโชคลาภ,เงิน,2559,ปลุกเสกโดยหลวงพ่อโชค,พกติดตัว,"5,000+",กลาง,หลวงพ่อโชค,เสริมดวง,,
เหรียญหลวงพ่อโสธร,https://drive.google.com/file/d/1DUHSFRYv3g61HLBHtdXfwtNPxGpEyC-x/view?usp=sharing,"วัดโสธรวราราม, ฉะเชิงเทรา",เหรียญพระพุทธ,คุ้มครองการเดินทางให้ปลอดภัย,เนื้อทองแดง,2497,ปลุกเสกโดยพระเกจิอาจารย์ชื่อดัง,พกติดตัวเพื่อคุ้มครองในการเดินทาง,"5,000+",สูง,หลวงพ่อโสธร,เดินทาง,,
ตะกรุดพญานาคราช,https://drive.google.com/file/d/1dR4UYFjSFGwlIDZyFnX96BBOnTSoX9_L/view?usp=sharing,"วัดบางเหี้ย, สมุทรปราการ",ตะกรุด,ป้องกันอุบัติเหตุในการเดินทาง,ทองแดง,2540,ปลุกเสกโดยหลวงปู่เส็ง,พกติดตัวเพื่อป้องกันอันตรายในการเดินทาง,"9,000+",สูง,หลวงปู่เส็ง,เดินทาง,,
ผ้ายันต์หลวงพ่อโต,https://drive.google.com/file/d/1F0WazoAVtRamLK3TnlPd_8aJMnAoiyQT/view?usp=sharing,"วัดระฆังโฆสิตาราม, กรุงเทพ",ผ้ายันต์,คุ้มครองในการเดินทาง,ผ้า,2505,ปลุกเสกโดยสมเด็จโต พรหมรังสี,แขวนในรถหรือพกติดตัวเพื่อเสริมความปลอดภัย,"3,500+",กลาง,สมเด็จโต พรหมรังสี,เดินทาง,,
พระกริ่งปวเรศ,https://drive.google.com/file/d/1uPi7PZo73UwY2tCbnaEr0qyrrFf9mlSy/view?usp=sharing,"วัดบวรนิเวศวิหาร, กรุงเทพ",พระกริ่ง,ป้องกันอุบัติเหตุและคุ้มครองภัย,ทองเหลือง,2475,ปลุกเสกโดยสมเด็จพระสังฆราช,พกติดตัวเพื่อป้องกันอุบัติเหตุ,"15,000+",สูง,สมเด็จพระสังฆราช,เดินทาง,,
ตะกรุดโทน,https://drive.google.com/file/d/1GGr_2IOqc6WfV5VHcLEYOWuT-iObxRM3/view?usp=sharing,"วัดป่าหนองแซง, นครนายก",ตะกรุด,ป้องกันอันตรายและคุ้มครองเดินทาง,ทองแดง,2550,ปลุกเสกพิธีใหญ่,พกติดตัวเพื่อป้องกันภัยในการเดินทาง,"4,500+",กลาง,,เดินทาง,,
กำไลหินทิเบต,https://drive.google.com/file/d/1IGn2OrWnZl8FYU-CkYRyDSyUG6g6X7TL/view?usp=sharing,"ศาลเจ้าพ่อเสือ, กรุงเทพ",กำไลหิน,คุ้มครองในการเดินทางให้ปลอดภัย,หินทิเบต,2558,ปลุกเสกในพิธีบวงสรวง,สวมใส่เพื่อคุ้มครองและเสริมความปลอดภัย,"2,500+",กลาง,,เดินทาง,,
พระปิดตาหลวงปู่เอี่ยม,https://drive.google.com/file/d/1efkqg2G3R_aqt5OCChxps8RNENQcMpi6/view?usp=sharing,"วัดสะพานสูง, นนทบุรี",พระเครื่อง,คุ้มครองจากอุบัติเหตุและอันตราย,เนื้อทองแดง,2520,ปลุกเสกโดยหลวงปู่เอี่ยม,พกติดตัวเพื่อเสริมความปลอดภัยในการเดินทาง,"10,000+",สูง,หลวงปู่เอี่ยม,เดินทาง,,
ผ้ายันต์กันภัยหลวงพ่อปาน,https://drive.google.com/file/d/1WCYVbhHVEr2mdb5wz9RsrZeA451x8UsN/view?usp=sharing,"วัดบางนมโค, อยุธยา",ผ้ายันต์,ป้องกันอันตรายจากการเดินทาง,ผ้า,2515,ปลุกเสกโดยหลวงพ่อปาน,พกติดตัวเพื่อป้องกันภัยและเสริมดวง,"2,800+",กลาง,หลวงพ่อปาน,เดินทาง,,
พระกริ่งหลวงพ่อโสธร,https://drive.google.com/file/d/16ljitRhcbA90vIulzjFCBIhQOZw94HYL/view?usp=sharing,"วัดโสธรวราราม, ฉะเชิงเทรา",พระกริ่ง,คุ้มครองในการเดินทางให้ปลอดภัย,เนื้อทองคำ,2490,ปลุกเสกพิธีใหญ่,พกติดตัวเพื่อเสริมความปลอดภัยในการเดินทาง,"20,000+",สูง,หลวงพ่อโสธร,เดินทาง,,
ตะกรุดหลวงปู่ทวด,https://drive.google.com/file/d/1PgSHFc4efpKh93xom5sy383v6wpcb8rS/view?usp=drive_link,"วัดช้างให้, ปัตตานี",ตะกรุด,ป้องกันอันตรายและเสริมความปลอดภัย,"ทองแดง, ทองคำ",2530,ปลุกเสกโดยหลวงปู่ทวด,พกติดตัวเพื่อคุ้มครองในการเดินทาง,"12,000+",สูง,หลวงปู่ทวด,เดินทาง,,10 รูป
พระปิดตาเดินทาง,,วัดระฆัง,พระเครื่อง,คุ้มครองในการเดินทาง,เนื้อผงพุทธคุณ,2542,ปลุกเสกโดยหลวงพ่อโต,พกติดตัว,"7,000+",สูง,หลวงพ่อโต,เดินทาง,,
ตะกรุดคุ้มครอง,,วัดถนนทอง,ตะกรุด,ป้องกันอุบัติเหตุในการเดินทาง,ทองแดง,2554,ปลุกเสกโดยหลวงพ่อท่าน,พกติดตัว,"6,000+",กลาง,หลวงพ่อท่าน,เดินทาง,,
เหรียญหลวงพ่อแจ้ง,,วัดปากน้ำ,พระเครื่อง,เสริมโชคลาภในการเดินทาง,ทองแดง,2545,ปลุกเสกโดยหลวงพ่อแจ้ง,พกติดตัว,"9,000+",กลาง,หลวงพ่อแจ้ง,เดินทาง,,
พระมหาเศรษฐี,,วัดมหาเศรษฐี,พระเครื่อง,คุ้มครองการเดินทาง,เนื้อทองคำ,2553,ปลุกเสกโดยพระเกจิ,บูชาที่บ้าน,"15,000+",สูง,พระเกจิ,เดินทาง,,
ตะกรุดป้องกันภัย,,วัดปทุมวนาราม,ตะกรุด,คุ้มครองจากอุบัติเหตุ,ทองแดง,2549,ปลุกเสกโดยหลวงพ่อปาน,พกติดตัว,"4,500+",กลาง,หลวงพ่อปาน,เดินทาง,,
พระนาคปรก,,วัดนาคปรก,พระเครื่อง,เสริมความปลอดภัยในการเดินทาง,เนื้อผง,2556,ปลุกเสกโดยหลวงพ่อพัฒน์,บูชาที่บ้าน,"10,000+",สูง,หลวงพ่อพัฒน์,เดินทาง,,
ลูกอมหลวงพ่อกวย,,วัดโฆสิตาราม,ลูกอม,คุ้มครองการเดินทาง,เนื้อผง,2544,ปลุกเสกโดยหลวงพ่อกวย,พกติดตัว,"5,500+",สูง,หลวงพ่อกวย,เดินทาง,,
พระพุทธรูปเดินทาง,,วัดพระพุทธ,พระเครื่อง,คุ้มครองการเดินทาง,เนื้อโลหะ,2551,ปลุกเสกโดยพระเกจิ,บูชาที่บ้าน,"20,000+",สูง,พระเกจิ,เดินทาง,,
ผ้ายันต์กันภัย,,วัดเจ้าแม่กวนอิม,ผ้ายันต์,ป้องกันอุบัติเหตุ,ผ้า,2507,ปลุกเสกโดยพระเกจิ,แขวนในรถ,"3,000+",กลาง,พระเกจิ,เดินทาง,,
ตะกรุดอิทธิฤทธิ์,,วัดมเหสี,ตะกรุด,ป้องกันภัยจากอุบัติเหตุ,ทองแดง,2547,ปลุกเสกโดยหลวงพ่อท่าน,พกติดตัว,"5,000+",กลาง,หลวงพ่อท่าน,เดินทาง,,
พระแก้วมรกต,,วัดพระแก้ว,พระเครื่อง,เสริมโชคลาภในการเดินทาง,แก้วมรกต,2538,ปลุกเสกโดยพระเกจิ,บูชาที่บ้าน,"15,000+",สูง,พระเกจิ,เดินทาง,,
เหรียญหลวงพ่อวัดไร่ขิง,,วัดไร่ขิง,พระเครื่อง,คุ้มครองการเดินทาง,ทองแดง,2546,ปลุกเสกโดยหลวงพ่อวัดไร่ขิง,พกติดตัว,"8,000+",กลาง,หลวงพ่อวัดไร่ขิง,เดินทาง,,
ตะกรุดพระพุทธ,,วัดพระพุทธ,ตะกรุด,เสริมความปลอดภัยในการเดินทาง,ทองแดง,2559,ปลุกเสกโดยหลวงพ่อพัฒน์,พกติดตัว,"4,500+",กลาง,หลวงพ่อพัฒน์,เดินทาง,,
พระราหู,,วัดโพธิ์,พระเครื่อง,คุ้มครองการเดินทาง,เนื้อโลหะ,2555,ปลุกเสกโดยหลวงพ่อราหู,บูชาที่บ้าน,"12,000+",สูง,หลวงพ่อราหู,เดินทาง,,
ลูกอมหลวงปู่ทวด,,วัดช้างให้,ลูกอม,เสริมความปลอดภัย,เนื้อผง,2520,ปลุกเสกโดยหลวงปู่ทวด,พกติดตัว,"6,500+",สูง,หลวงปู่ทวด,เดินทาง,,
ตะกรุดพระเจ้าตาก,,วัดเจ้าตาก,ตะกรุด,ป้องกันภัยในการเดินทาง,ทองแดง,2544,ปลุกเสกโดยพระเกจิ,พกติดตัว,"9,500+",กลาง,พระเกจิ,เดินทาง,,
พระพุทธโสธร,,วัดโสธร,พระเครื่อง,คุ้มครองการเดินทาง,เนื้อทองคำ,2532,ปลุกเสกโดยพระเกจิ,บูชาที่บ้าน,"20,000+",สูง,พระเกจิ,เดินทาง,,
ตะกรุดเกราะเพชร,,วัดราชบพิธ,ตะกรุด,ป้องกันอุบัติเหตุ,ทองแดง,2552,ปลุกเสกโดยสมเด็จพระสังฆราช,พกติดตัว,"7,500+",สูง,สมเด็จพระสังฆราช,เดินทาง,,
พระสิวลี,,วัดสิวลี,พระเครื่อง,เสริมโชคลาภในการเดินทาง,เนื้อผง,2543,ปลุกเสกโดยหลวงพ่อสิวลี,บูชาที่บ้าน,"11,000+",สูง,หลวงพ่อสิวลี,เดินทาง,,
ผ้ายันต์กันภัย,,วัดเจ้าแม่,ผ้ายันต์,คุ้มครองในการเดินทาง,ผ้า,2509,ปลุกเสกโดยพระเกจิ,แขวนในรถ,"3,200+",กลาง,พระเกจิ,เดินทาง,,
พระแม่ธรณี,,วัดธรณี,พระเครื่อง,ป้องกันภัยและคุ้มครองการเดินทาง,เนื้อผง,2550,ปลุกเสกโดยพระเกจิ,บูชาที่บ้าน,"12,500+",สูง,พระเกจิ,เดินทาง,,
เหรียญหลวงพ่อคูณ,,วัดบ้านไร่,พระเครื่อง,คุ้มครองการเดินทาง,ทองแดง,2554,ปลุกเสกโดยหลวงพ่อคูณ,พกติดตัว,"9,000+",สูง,หลวงพ่อคูณ,เดินทาง,,
เหรียญหลวงพ่อทวด,,วัดช้างให้,พระเครื่อง,คุ้มครองการเดินทาง,ทองแดง,2505,ปลุกเสกโดยหลวงพ่อทวด,พกติดตัว,"15,000+",สูง,หลวงพ่อทวด,เดินทาง,,
ตะกรุดมหาจินดา,,วัดดอนยายหอม,ตะกรุด,ป้องกันอุบัติเหตุ,ทองแดง,2557,ปลุกเสกโดยพระเกจิ,พกติดตัว,"8,500+",สูง,พระเกจิ,เดินทาง,,
พระพุทธชินราช,,วัดพระพุทธชินราช,พระเครื่อง,คุ้มครองการเดินทาง,เนื้อทองคำ,2536,ปลุกเสกโดยพระเกจิ,บูชาที่บ้าน,"25,000+",สูง,พระเกจิ,เดินทาง,,
ผ้ายันต์เดินทาง,,วัดท่าพระ,ผ้ายันต์,คุ้มครองการเดินทาง,ผ้า,2503,ปลุกเสกโดยหลวงพ่อโต,แขวนในรถ,"4,000+",กลาง,หลวงพ่อโต,เดินทาง,,
ตะกรุดพญานาค,,วัดพญานาค,ตะกรุด,ป้องกันอุบัติเหตุ,ทองแดง,2551,ปลุกเสกโดยหลวงพ่อปาน,พกติดตัว,"6,500+",สูง,หลวงพ่อปาน,เดินทาง,,
ลูกอมพญาหงส์,,วัดพญาหงส์,ลูกอม,คุ้มครองการเดินทาง,เนื้อผง,2549,ปลุกเสกโดยพระเกจิ,พกติดตัว,"5,500+",กลาง,พระเกจิ,เดินทาง,,
พระเครื่องหลวงพ่อโสธร,,วัดโสธรวราราม,พระเครื่อง,คุ้มครองการเดินทาง,เนื้อทองแดง,2509,ปลุกเสกโดยหลวงพ่อโสธร,บูชาที่บ้าน,"10,000+",สูง,หลวงพ่อโสธร,เดินทาง,,
ตะกรุดกันภัย,,วัดมหาธาตุ,ตะกรุด,ป้องกันอุบัติเหตุ,ทองแดง,2548,ปลุกเสกโดยหลวงพ่อมหา,พกติดตัว,"7,500+",กลาง,หลวงพ่อมหา,เดินทาง,,
พระบูชาเดินทาง,,วัดพระบูชา,พระเครื่อง,คุ้มครองการเดินทาง,เนื้อผง,2552,ปลุกเสกโดยพระเกจิ,บูชาที่บ้าน,"12,000+",สูง,พระเกจิ,เดินทาง,,
ตะกรุดพระธาตุ,,วัดพระธาตุ,ตะกรุด,คุ้มครองการเดินทาง,ทองแดง,2554,ปลุกเสกโดยพระเกจิ,พกติดตัว,"5,500+",กลาง,พระเกจิ,เดินทาง,,
เหรียญเทพเจ้า,,วัดเทพเจ้า,พระเครื่อง,คุ้มครองการเดินทาง,เนื้อทองคำ,2537,ปลุกเสกโดยพระเกจิ,บูชาที่บ้าน,"20,000+",สูง,พระเกจิ,เดินทาง,,
พระเครื่องหลวงพ่อสด,https://drive.google.com/file/d/1D648Mg1FvyfCClQUdkaIuXdrb9gEmBnM/view?usp=drive_link,วัดปากน้ำ,พระเครื่อง,เสริมการเรียนรู้,เนื้อผง,2545,ปลุกเสกโดยหลวงพ่อสด,บูชาที่บ้าน,"1,500+",สูง,หลวงพ่อสด,การเรียน,,
ตะกรุดมหาเรียนน่า,https://drive.google.com/file/d/1t8dMZQ-DtLBESTY3RPZfjTtyMyacIIVx/view?usp=drive_link,วัดคลองห้า,ตะกรุด,เสริมดวงการเรียน,ทองแดง,2552,ปลุกเสกโดยพระเกจิ,พกติดตัว,"2,500+",กลาง,พระเกจิ,การเรียน,,
ลูกอมมหาเรียน,https://drive.google.com/file/d/108KZBHP18pfNNYc70oLBtCiKi4_TQXWe/view?usp=drive_link,วัดสระเกศ,ลูกอม,เพิ่มพูนความรู้,เนื้อผง,2550,ปลุกเสกโดยหลวงปู่,พกติดตัว,"1,800+",สูง,หลวงปู่,การเรียน,,
พระปิดตาหลวงปู่ทอง,https://drive.google.com/file/d/11gPn8licSCgJPCrGOfrd1nyQIKUFp2S0/view?usp=drive_link,วัดท่าทราย,พระเครื่อง,ป้องกันความผิดพลาด,เนื้อผง,2549,ปลุกเสกโดยหลวงปู่ทอง,บูชาที่บ้าน,"2,000+",สูง,หลวงปู่ทอง,การเรียน,,
ตะกรุดเรียนดี,https://drive.google.com/file/d/1gEs2FXVujxn-tMKw6p-X277z3DfgDb4u/view?usp=drive_link,วัดกลาง,ตะกรุด,เสริมความรู้,ทองแดง,2551,ปลุกเสกโดยพระเกจิ,พกติดตัว,"1,200+",กลาง,พระเกจิ,การเรียน,,
พระเกจิอาจารย์,https://drive.google.com/file/d/1_grUtGUsfBTqMMW2ewcBsfIaM9HI4Rng/view?usp=drive_link,วัดใหญ่,พระเครื่อง,ส่งเสริมการเรียน,เนื้อผง,2554,ปลุกเสกโดยพระเกจิ,บูชาที่บ้าน,"2,500+",สูง,พระเกจิ,การเรียน,,
