สถานที่,จุดเด่น,ที่อยู่,วันที่เปิดทำการ,เวลาเปิดทำการ,รายละเอียดเพิ่มเติม,บูชา (ของที่ต้องเตรียม),ภาพสถานที่,หมวดหมู่
วัดมณีวงศ์,วัดเก่าแก่อายุนับ 100 ปี กับถ้ำพญานาคนับพันตัว เชื่อกันว่าการที่ได้ไหว้ขอพรจากองค์พญานาค จะได้รับความเมตตา ประสบความสำเร็จ และเสริมโชคลาภ และเป็นวัดที่มีความโดดเด่นในเรื่องสถาปัตยกรรม ที่เป็นไฮไลท์ก็คือวังพญานาค,75 หมู่ 2 ตำบลดงละคร อำเภอเมืองนครนายก จังหวัดนครนายก,"จ,อ,พ,พฤ,ศ,ส,อา ",07.00-17.30น.,,"ธูป 3 ดอก และเทียน สำหรับการบูชาพระพุทธรูปและสิ่งศักดิ์สิทธิ์ภายในวัด
ดอกไม้สด เช่น ดอกบัว ดอกมะลิ หรือพวงมาลัย ใช้ในการถวายพระพุทธรูป
ทองคำเปลว ใช้สำหรับปิดองค์พระพุทธรูปเพื่อเสริมสิริมงคล
ผลไม้ เช่น กล้วย ส้ม หรือผลไม้มงคลอื่น ๆ ที่นิยมถวายเป็นพุทธบูชา
เครื่องสังฆทาน สำหรับการทำบุญถวายพระสงฆ์ เพื่อเสริมบุญบารมีและความเป็นสิริมงคลในชีวิต
น้ำดื่ม หรือเครื่องดื่มที่ใช้ถวายเพื่อขอพรในการเสริมสิริมงคล
",,การงาน
วัดกัลยาณมิตรวรมหาวิหาร,ผู้คนส่วนใหญ่นิยมเดินทางมากราบไหว้ “หลวงพ่อโต” และแก้ปีชง เสริมความเป็นสิริมงคล คุ้มครองดวงชะตา เพื่อให้สิ่งร้าย ๆ กลายเป็นดี ,ริมแม่น้ำเจ้าพระยา ฝั่งธนบุรี บริเวณปากคลองบางกอกใหญ่ฝั่งใต้ ซอยอรุณอมรินทร์ 6 ถนนอรุณอมรินทร์ เเขวงวัดกัลยาณ์ เขตธนบุรี กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-18.00 น.,,ธูป 3 ดอก เทียนแดงคู่ และดอกไม้พวงมาลัย,https://drive.google.com/file/d/1JCz38EnINuAKoSrsiOIh7rjCLMuhPMy7/view?usp=sharing,เสริมดวง
วัดกัมโล่วยี่ (วัดทิพยวารีวิหาร),โดยภายในวัดมีองค์เทพและเทวรูปสำคัญ ๆ ประดิษฐานอยู่มากมาย ไม่ว่าจะเป็น หมออูโต๋ว เทพปรองดองหรือเทพแห่งความรัก เทพขุนพลเอี่ยยิ่ม องค์ซำกวงหรือเทพ 3 ตา และพระโพธิสัตว์อวโลกิเตศวร ที่ทรงประธานพรในด้านต่าง ๆ อย่างครบครัน จึงทำให้ผู้คนในละแวกนั้นและคนส่วนใหญ่ต่างพากันไปสักการะบูชา ไหว้ขอพร และทำบุญแก้ชงในแต่ละปีอย่างไม่ขาดสาย,119 ซอย ทิพย์วารี แขวง วังบูรพาภิรมย์ เขตพระนคร กรุงเทพมหานคร 10200,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-18.00 น.,,ผลไม้ ดอกไม้ และธูปเทียน,https://drive.google.com/file/d/1iaRWVK6rJxuqVQ9eCqm9dMZT-F07bt33/view?usp=sharing,เสริมดวง
วัดกลางบางพระ,ภายในวัดเป็นที่ประดิษฐานของ หลวงพ่อสมหวัง หรือหลวงพ่อใหญ่ โดยคนที่มากราบไหว้หลวงพ่อจะนิยมขอพรให้ประสบความสำเร็จ,ตำบลบางพระ อำเภอนครชัยศรี จังหวัดนครปฐม,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-18.00 น.,,ของแก้บน : ไข่ไก่ ไข่เป็ด ข้าวสาร และหัวหมู เพื่อทางวัดจะนำไปมอบต่อให้โรงพยาบาล โรงเรียน และชุมชนใกล้วัด รวมถึงนำไปประกอบอาหารแจกผู้มาทำบุญที่วัด,https://drive.google.com/file/d/1kCGGbQMVkG2GbMhGvMIu5Ii8hZolaOlU/view?usp=sharing,เสริมดวง
วัดบรมราชากาญจนาภิเษกอนุสรณ์,ที่ประดิษฐานของพระกวนอิมโพธิสัตว์องค์ขนาดใหญ่ที่เปิดให้เราได้เข้าไปกราบไหว้ขอพร เสริมความเป็นสิริมงคลให้แก่ชีวิตในวันขึ้นปีใหม่ที่กำลังมาถึงนี้ ,79 หมู่ 4 โสนลอย บางบัวทอง นนทบุรี 11110,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-18.00 น.,,ธูปหอม 12 ดอก ดอกบัวขาว 3 ดอก สร้อยไข่มุก 1 เส้น,https://drive.google.com/file/d/1rIAHWXgqGSqEF9f4P4yREPJPiJV5Bozy/view?usp=sharing,เสริมดวง
วัดพนัญเชิงวรวิหาร,บริเวณสถานที่แห่งนี้เป็นวัดอันเก่าแก่ที่ถูกสร้างขึ้นตั้งแต่สมัยกรุงศรีอยุธยา และเป็นที่ประดิษฐานของพระพุทธรูปไตรรัตนนายก หรือ องค์หลวงพ่อโต ,หมู่ 2 ตำบลคลองสวนพลู อำเภอพระนครศรีอยุธยา จังหวัดพระนครศรีอยุธยา,"จ,อ,พ,พฤ,ศ,ส,อา ",07.00-18.00 น.,,ธูป 3 ดอก เทียนแดงคู่ และดอกไม้พวงมาลัย,https://drive.google.com/file/d/1OmEt-Psk85IvjFNLI_1oh0pd7TmC48MH/view?usp=drive_link,เสริมดวง
วัดพระศรีรัตนศาสดาราม,ภายในประดิษฐาน “พระพุทธมหามณีรัตนปฏิมากร” หรือ “พระแก้วมรกต” สิ่งศักดิ์สิทธิ์คู่บ้านคู่เมืองของประเทศไทย วัดแห่งนี้จึงจัดว่าเป็นวัดคู่บ้านคู่เมืองของประเทศไทยด้วยเช่นกัน จึงเชื่อกันว่า ใครที่ได้มากราบไหว้สักการะที่นี่จะมีจิตใจที่บริสุทธิ์สะอาด ดุจพระรัตนตรัย,เขตพระบรมมหาราชวัง เขตพระราชฐานชั้นนอก ทางทิศตะวันออก ติดท้องสนามหลวง แขวงพระบรมมหาราชวัง เขตพระนคร กรุงเทพมหานคร,"จ,อ,พ,พฤ,ศ,ส,อา ",08.30-15.30 น.,,ธูป 3 ดอก และดอกไม้พวงมาลัย,https://drive.google.com/file/d/1gQWBIURP6DI9nUBZGyqYH_Te-t4baE0I/view?usp=drive_link,เสริมดวง
วัดไตรมิตรวิทยารามวิหาร,กราบไหว้สิ่งศักดิ์สิทธิ์ภายในวัดซึ่งเป็นองค์พระพุทธรูปหล่อทองคำที่ถูกสร้างมากว่า 100 ปีโดยคนไทยเชื้อสายจีนส่วนในย่านเยาวราชแห่งนี้นิยมเดินทางมาเพื่อกราบไหว้ขอพรสิ่งศักดิ์สิทธิ์ให้ช่วยเสริมสร้างดวงชะตาและช่วยปกปักรักษาคุ้มครองให้เราพบเจอแต่สิ่งดี ๆ,661 ถนนเจริญกรุง แขวงตลาดน้อย เขตสัมพันธวงศ์ กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00-17.00 น. ,คนไทยฟรี ต่างชาติคนละ 500 บาท,ธูป 3 ดอก เทียนแดงคู่ และดอกไม้พวงมาลัย,https://drive.google.com/file/d/1QefrZYN34QKdLPM1l0quEqSX-cb1ufwR/view?usp=drive_link,เสริมดวง
วัดยานนาวา,"การไปสักการะขอพร ""สำเภายานนาวา""",พระอารามหลวง ถนนเจริญกรุง แขวงยานนาวา เขตสาทร กรุงเทพมหานคร,"จ,อ,พ,พฤ,ศ,ส,อา ",08.30 – 17.00 น.,,ธูป 3 ดอก เทียนแดงคู่ และดอกไม้พวงมาลัย,https://drive.google.com/file/d/1IgU3uUIUjcSMQfSwmBQ0dd22Lb5YiyGI/view?usp=drive_link,เสริมดวง
ศาลเจ้าพ่อกวนอู,ประดิษฐานขององค์เทพเจ้ากวนอู ผู้ซึ่งมีความซื่อสัตย์ กตัญญู และมีความเป็นมิตรจึงทำให้คนจีนส่วนใหญ่ให้ความเคารพและนับถือเป็นอย่างมาก ,ซอยสมเด็จเจ้าพระยา 3 แขวงสมเด็จเจ้าพระยา เขตคลองสาน กรุงเทพมหานคร,"จ,อ,พ,พฤ,ศ,ส,อา ",09.00-17.00 น.,,ธูปจำนวน 3 ดอก เทียนแดง ตั่วกิม หรือ คอซี้(กระดาษทองลักษณะขอบเป็นสีส้ม เป็นรูปทองแท่งและเงินจีน) พร้อมธง 1 ชุด เง็งเตี๋ย หรือ หงิ่งเตี๋ย / งิ่งเตี๋ย (กระดาษเงิน กระดาษทอง) จำนวน 12 แผ่น เพ้ากวนอู (เสื้อผ้า เครื่องทรงกระดาษเจ้าพ่อกวนอู 1 ชุด) ซาแซ หมู ปลา เป็ด ห้ามนำ ไก่ มา บูชาเทพเจ้ากวนอู เด็ดขาด ผลไม้ 3 ชนิด และชนิดที่จำเป็นต้องมีก็คือส้ม 5 ผล พวงมาลัย น้ำชาและสุราอย่างน้อย 3 ถ้วย น้ำมัน 1 ขวด,https://drive.google.com/file/d/1r_NDIulJx4HPd5of7ebvpikh5wugYrZf/view?usp=drive_link,เสริมดวง
มูลนิธิเทียนฟ้า - เยาวราช,ศาลเจ้าแม่กวนอิม ,606 ซุ้มประตูเฉลิมพระเกียรติ ถนนเยาวราช เขตสัมพันธวงศ์ กรุงเทพฯ 10100,"จ,อ,พ,พฤ,ศ,ส,อา ",00.00-23.59 น.,,ให้ไหว้ด้วยดอกบัวสีชมพู หรือขาว 9 ดอก 2. ธูป 9 ดอก 3. เทียน 2 เล่ม 4. ส้มและสาลี่ อย่างละ 4 ผล สามารถเพิ่มผลไม้อะไรก็ได้ ยกเว้นมะม่วง มังคุด และพุทรา,https://drive.google.com/file/d/1tGNFi3GAlQDCgYvBFOf1mH3OPLdBERVZ/view?usp=drive_link,เสริมดวง
ศาลพระพิฆเนศ,ใครอยากประสบความสำเร็จเรื่องไหน ให้มาขอพรที่นี่  เชื่อกันว่าพระพิฆเนศเป็นเทพเจ้าแห่งความรู้ สติปัญญา และศิลปะ จะช่วยขจัดอุปสรรค และแก้ไขปัญหาด้วยปัญญาที่ชาญฉลาด ถือเป็นอีกหนึ่งเทพเจ้าที่คนศรัทธา นิยมกราบไหว้นับถือเป็นอย่างมาก,สี่แยกห้วยขวาง ถนนรัชดาภิเษก เขตห้วยขวาง กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",00.00-23.59 น.,นิยมไหว้พระพิฆเนศวร์ วันอังคาร และวันพฤหัส,"ธูป 5 ดอก,  เทียน 1 เล่ม, พวงมาลัยดอกไม้, ผลไม้,  ขนมหวาน, นม  หรือน้ำหวาน ห้ามถวายเนื้อสัตว์และของคาวเป็นอันขาด ไหว้ครั้งแรกควรเป็นวันอังคารหรือพฤหัสบดี",https://drive.google.com/file/d/1os6vIR87_-FhLezuNtWANn9xZARYxC-g/view?usp=sharing,เสริมดวง
วัดโสธรวรารามวรวิหาร,"""หลวงพ่อโสธร"" คือ พระพุทธรูปคู่บ้านคู่เมืองของชาวฉะเชิงเทรา เป็นที่ศรัทธาว่ามีความศักดิ์สิทธิ์ จนมีผู้คนไปขอพรให้สมหวังกันมากมาย ไม่ว่าจะเป็นเรื่อง การค้าขาย เรื่องการงาน เรื่องสุขภาพ และขอให้ประสบความสำเร็จในชีวิต เรื่องเงินทองหรือโชคลาภ คนที่สมหวังก็จะมาแก้บนด้วยไข่ต้ม หรือละครรำ",เลขที่ 134 ถนนเทพคุณากร ตำบลหน้าเมือง อำเภอเมืองฉะเชิงเทรา จังหวัดฉะเชิงเทรา,"จ,อ,พ,พฤ,ศ,ส,อา ",07.00-16.30 น.,สิ่งที่ห้ามขออย่างเดียวเลยก็คือ “การขอให้ไม่เป็นทหาร” เพราะมีความเชื่อว่า หลวงพ่อโสธรชอบให้คนไปเป็นทหารเพื่อกลับมาดูแลบ้านเมือง หากใครที่มาขอเรื่องการไม่ต้องเกณฑ์ทหารจะจับได้ใบแดงทุกคน และผู้ที่จะมาขอพรต้องขอเพียงเรื่องเดียวเท่านั้นถึงจะเห็นผล," ธูป, เทียน, พวงมาลัย และไข่ต้ม วิธีการขอพรเรื่องงาน : ⁠เมื่อเตรียมของที่ใช้ในการขอพรเรื่องงานพร้อมแล้ว จากนั้นตั้งจิตอธิษฐานให้แน่วแน่ ขอพรสิ่งศักดิ์สิทธิ์เรื่องงาน ผู้ที่จะมาขอพรต้องขอเพียงเรื่องเดียวเท่านั้นถึงจะเห็นผล",https://drive.google.com/file/d/1mDWuHVk3HjJ19TsBdgkXQZHmmV1HtIUz/view?usp=sharing,เสริมดวง
วัดท่าใหม่อิ,วัดที่นับได้ว่าอยู่คู่เมืองเชียงใหม่มานานกว่า 500 ปี นั่นคือวัดท่าใหม่อิ วัดศักดิ์สิทธิเก่าแก่ที่สายมู ต้องห้ามพลาด เพราะที่วัดท่าใหม่อินั้นเต็มไปด้วยสิ่ง ศักดิ์มากมายให้กราบไหว้ อีกทั้งยังมีความร่มรื่น สงบ เพราะรายล้อมไปด้วยต้นไม้และธรรมชาติมากมาย ภายในวัดมีหลวงพ่อโชคดี ที่ใครได้มีโอกาสไปกราบ ท่านรับประกันเลยว่าจะได้รับความโชคดีติดตัวกลับ ไปด้วยอย่างแน่นอ,ถนนวงแหวนรอบนอก เชิงสะพานข้ามแม่น้ำปิง บ้านท่าใหม่อิ ต.ป่าแดด อ.เมืองเชียงใหม่ ,"จ,อ,พ,พฤ,ศ,ส,อา ",06:00-18:00. น.,,"ขอพร บูชาพระพิฆเนศ ถวายของ: น้ำ น้ำสะอาด 1 แก้ว
นม ควรเป็นนมรสจืด หรือโยเกิร์ตรสธรรมชาติ
ดอกไม้หรือพวงมาลัย ดอกบัว ดอกดาวเรือง ดอกกุหลาบ
ผลไม้มงคล เช่น กล้วย มะพร้าว อ้อย สับปะรด ส้ม
ขนมหวาน เช่น ขนมลาดูโมทกะ
ข้าว ข้าวเปล่า 1 ถ้วย
ธูป ธูป 9 ดอก
เทียน เทียน 2 เล่ม",https://drive.google.com/file/d/1PmPLDRNiuKJZQPZiDp4siq-ZkJ5gvvwS/view?usp=sharing,เสริมดวง
วัดอินทรวิหาร ,"ภายในพระอุโบสถกราบบูชาขอพรองค์พระพุทธรูปคือ ""หลวงพ่อพระอินทร์"" ซึ่งเป็นพระประธานในพระอุโบสถ ขอได้ทุกเรื่องครับโดยเฉพาะขอพรให้ครอบครัวมีความสุข ปลอดภัยจากอันตรายทั้งปวง",ถนนวิสุทธิกษัตริย์ เขตพระนคร กรุงเทพมหานคร,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00น.-18.00น.,,"เตรียมเครื่องบูชา
ดอกไม้: ดอกไม้ที่ใช้บูชามักเป็นดอกไม้หอม เช่น ดอกบัว หรือดอกดาวเรือง
ธูปและเทียน: โดยปกติจะใช้ธูป 9 ดอก และเทียน 1 คู่
พวงมาลัย: บางคนอาจใช้พวงมาลัยดอกมะลิ หรือพวงมาลัยดอกดาวเรืองในการบูชา
ผลไม้: เช่น กล้วย ส้ม หรือน้ำอ้อย อาจจะมีขนมหวานเพื่อถวาย
น้ำเปล่า: บางคนเตรียมน้ำเปล่าหรือน้ำดื่มสะอาดถวายเพื่อเป็นการเคารพบูชา",https://drive.google.com/file/d/10tP3UzTQPsreDmVfCMAHG8UUXQVJmG5q/view?usp=sharing,เสริมดวง
วัดหัวหิน,วัดเก่าแก่ตั้งอยู่ใจกลางเมืองหัวหิน ที่สร้างขึ้นในสมัยของรัชกาลที่ 5 เดิมชื่อวัดอัมพาราม มีหลวงพ่อนาคเป็นเจ้าอาวาสรูปแรก และภายหลังเรียกกันว่า แหลมหิน จนกลายเป็น วัดหัวหินจนถึงทุกวันนี้ ที่นี่มีให้ทำบุญมากมาย เป็นการขอพรให้สมหวังทุกด้าน,เลขที่ 4 ถนนราชดำเนินนอก แขวงวัดโสมนัส เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร ,"จ,อ,พ,พฤ,ศ,ส,อา ", 06:00 – 18:00 น.,,ทำบุญถวายดอกไม้ ธูป เทียน เสริมดวงชะตาชีวิตให้มีความสุข ความเจริญ ชีวิตสดใสสวยงาม,https://drive.google.com/file/d/1PeWxiHBujxKlVLYdr83O024TPrGWUk_6/view?usp=sharing,เสริมดวง
วัดโพธิ์ชัย,วัดโพธิ์ชัย จังหวัดหนองคาย เป็นวัดสำคัญและศักดิ์สิทธิ์ โดยมี หลวงพ่อพระใส พระพุทธรูปคู่บ้านคู่เมืองหนองคาย เป็นที่เคารพนับถืออย่างยิ่ง หลายคนมักมากราบไหว้ขอพรในเรื่องต่างๆ ซึ่งเชื่อว่าหลวงพ่อพระใสมีความเมตตาและศักดิ์สิทธิ์ในการประทานพรให้สมหวังตามที่ขอ,บ้านคุ้มโพธิ์ชัย ถนนประจักษ์ ซอยพระใส ตำบลในเมือง อำเภอเมืองหนองคาย จังหวัดหนองคาย,"จ,อ,พ,พฤ,ศ,ส,อา ",8.30 - 16.30 น. ,,ธูปเทียนดอกไม้ กราบไหว้ขอพร,https://drive.google.com/file/d/13NmiFOAa4ef0K5MFmMslXT6LkOJUbzk2/view?usp=sharing,เสริมดวง
วัดมังกรกมลาวาส (วัดเล่งเน่ยยี่),วัดเล่งเน่ยยี่ หรืออีกชื่อ วัดมังกรกมลาวาส เป็นวัดที่มีผู้คนแวะเวียนมากราบไหว้เรื่องเสริมดวง สะเดาะเคราะห์ ทำบุญแก้ชง,ถนนเจริญกรุง เขตป้อมปราบศัตรูพ่าย กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00-17.00 น. ,,วิธีไหว้ : เขียนชื่อ สกุล อายุ วันเดือนปีเกิด ปีนักษัตร เวลาตกฟาก จุดธูป 3 ดอกเพื่อทำการขอพร จากนั้นให้นำชุดไหว้มาโบกปัดตามร่างกาย 12 ครั้ง ก่อนนำชุดไหว้ไปฝากไว้หน้าองค์ไท่ส่วยเอี๊ย ของไหว้ : ชุดไหว้มีบริการหน้าวัด,https://drive.google.com/file/d/1u2LX3e8kv6W_0xykzNCzTiZNyS9m3IZh/view?usp=sharing,เสริมดวง
ศาลเจ้าแม่กวนอิม,เจ้าแม่กวนอิมเป็นที่รู้จักเป็นอย่างดีสำหรับคนไทยมีชื่อเสียงเรื่องการขออะไรก็สมหวังเนื่องจากพระองค์เป็นพระโพธิสัตว์ที่มีจิตใจเมตตา,มูลนิธิเทียนฟ้า ถ.เยาวราช กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",00.00-23.59,,"วิธีไหว้ : บูชาพร้อม ธูป 9 ดอก น้ำสะอาดใส่ภาชนะใหม่ ดอกมะลิหรือดอกบัวสีขาวหรือชมพู ท่องนะโมฯ 3 จบ ตามด้วย “นำโมไต๋ชื้อ ไต๋ปุย กิวโคว่ กิวหลั่ง กวงไต๋เล่งก้ำ กวงสี่อิมผู่สัก (ท่อง 3 จบ กราบ 3 ครั้ง)
นำโมฮุก นำโมหวบ นำโมเจ็ง นำโมกิวโคว่ กิวหลั่ง กวงสี่อิมผู่สัก ทั่งจี้โต
โอม เกียล้อฮวดโต เกียล้อฮวดโต เกียออฮวดโต ล้อเกียฮวดโต ล้อเกียฮวดโต
ซาผ่อออ เทียงล้อซิ้ง ตี่ล้อซิ้ง นั้งลี่หลั่ง หลั่งลี่ซิ้ง เจ็กเฉียก ใจเอียงห่วยอุ่ยติ้ง
นำโมม่อออปวกเยี่ยปอล้อบิ๊ก”",https://drive.google.com/file/d/1VYM4c5rLOu3FTDs9iNuJaufz7OCxnDPR/view?usp=sharing,เสริมดวง
วัดเขาตะเกียบ,วัดเขาตะเกียบโดดเด่นด้วยพระบรมสารีริกธาตุ และ มีองค์พระเเม่กวนอิมพันมือ ศาลเจ้าพ่อกวนอู และพระสังกัจจายน์ ที่นี่มีบันไดให้เดินขึ้นไปสักการะถึง 128 ขั้น กันเลยทีเดียว คนส่วนใหญ่มักจะมาไหว้ และ อธิษฐานขอพรกันที่นี่ เพื่อเป็นสิริมงคล แก่ตนเอง และ ครอบครัว ช่วยเรื่องของความร่ำรวย และ เสริมความเป็นสิริมงคล ช่วยปัดเป่าความทุกข์ โรคภัยไข้เจ็บ,ตำบลหนองแก อำเภอหัวหิน จังหวัดประจวบคีรีขันธ์ ,"จ,อ,พ,พฤ,ศ,ส,อา ", 08.00-18.00 น.,,การกราบไหว้พระเจ้ากวนอูจะใช้ธูปทั้งหมด 11 ดอก กับเทียน 1 คู่ ซึ่งทางศาลเจ้ามีจัดเตรียมไว้ให้ โดยเราจะต้องกราบไหว้ตามจุุดต่างๆ ตามลำดับดังนี้ จุดที่ 1 : กราบไหว้ เทวดาฟ้าดิน ให้ปักธูป 5 ดอก จุดที่ 2 : กราบไหว้ เทพเจ้ากวนอู ให้ปักธูป 3 ดอก จุดที่ 3 : กราบไหว้ พระโพธิสัตว์กวนอิท ให้ปักธูป 3 ดอก,https://drive.google.com/file/d/1gbMATQ58c7i5wSa4F8a7gzWZKXtAWQVe/view?usp=sharing,เสริมดวง
วัดพุทธไชโย,เรื่องของความเป็นสิริมงคลในชีวิตให้พบเจอแต่สิ่ง ที่ดีๆ,ต.หนองแก อ.หัวหิน จ. ประจวบคีรีขันธ์,"จ,อ,พ,พฤ,ศ,ส,อา ",00.00-24.00,,วิธีบูชาพระประธานในอุโบสถ ที่วัดพุทธไชโย หัวหิน สามารถกราบไหว้พระประธานในอุโบสถซึ่งเป็นจุดศักดิ์สิทธิ์ในการขอพร,https://drive.google.com/file/d/1DToiEh3jhQLBvYhAin7BnWs3RoecViVO/view?usp=sharing,เสริมดวง
วัดพระเชตุพนวิมลมังคลารามราชวรมหาวิหาร (วัดโพธิ์) ,พระพุทธเทวปฏิมากร  เป็นพระประธานภายในพระอุโบสถจึงมีชื่อเสียงมากในเรื่องของความศักดิ์สิทธิ์ เชื่อว่าใครที่ได้กราบไหว้ขอพรก็จะเป็นจริงสมความปรารถนา จึงเหมาะสำหรับไปขอพรเรื่องการเงิน การงาน เสริมดวง,เลขที่ 2 ถนนสนามไชย เขตพระนคร กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",09.00-18.00 น.,,จุดธูปเทียน พร้อมถวายดอกไม้ และกล่าวคาถาบูชา  พระพุทธเทวปฏิมากร,,เสริมดวง
เทวาลัยเคณอินทร์ศวร, เทวาลัยที่นี่มีทั้งหมดสามชั้นด้วยกัน และที่นี่มีของบูชาให้เราได้เลือหลากหลายแล้วแต่เราสะดวก แถมยังมีดอกไม้ให้เรานำไปบูชาฟรีอีกด้วย ภายในจะมีองค์เทพให้เราสะการะบูชาหลายองค์เราสามารถขอพรได้กับทุกองค์เพื่อเป็นสิริมงคลแก่ตัวเราเอง,ถนนวัชรพล กรุงเทพมหานคร ,"อ,พ,พฤ,ศ,ส,อา ", 11.00  - 20.00 น.,,"การเตรียมเครื่องบูชา
ดอกไม้: นิยมใช้ดอกไม้ที่มีกลิ่นหอม เช่น ดอกบัว ดอกมะลิ หรือดอกกุหลาบสีขาว
เครื่องหอม: การจุดกำยานหรือธูปหอมเป็นสิ่งที่ใช้ในการสักการะพระศิวะ
ผลไม้และของหวาน: นิยมถวายผลไม้ เช่น มะพร้าว กล้วย หรือผลไม้ตามฤดูกาล
น้ำเปล่า: นำมาถวายเป็นเครื่องบูชาที่บริสุทธิ์
2. ขั้นตอนการบูชา
ตั้งจิตให้สงบ: ก่อนเริ่มบูชา ควรนั่งสงบใจและตั้งสมาธิให้จิตใจแน่วแน่ มีความตั้งใจจริงในการสักการะ",,เสริมดวง
วัดพระปฐมเจดีย์ราชวรมหาวิหาร,"พระร่วงโรจนฤทธิ์ฯ สิ่งศักดิ์สิทธิ์คู่เมืองนครปฐม ที่พุทธศาสนิกชนมักจะไปกราบไหว้บูชาเพื่อความเป็นสิริมงคล โดยเป็นที่ร่ำลือเรื่องการขอพรด้านสุขภาพ อาการเจ็บไข้ได้ป่วย ถูกโกง ถูกรังแก ถูกเอารัดเอาเปรียบ
",ตำบลพระปฐมเจดีย์ อำเภอเมืองนครปฐม จังหวัดนครปฐม,"จ,อ,พ,พฤ,ศ,ส,อา ",7.00 - 18.00น. ,,"เครื่องสักการะ: ธูปหอม 5 ดอก ดอกบัวขาว 3 ดอก เทียนขาว 2 เล่ม เงิน 15 บาท             บทสวดบูชา
ตั้งนะโม 3 จบ จากนั้น สวดตามว่า “อะติโรจะติปัญญายะสัมมาสัมพุทธะสาวะโก” (15 จบ)",,เสริมดวง
วัดใหญ่สุวรรณารามวรวิหาร,กราบสมเด็จเจ้าแตงโม ขอพรเพื่อความเป็นสิริมงคล แคล้วคลาดปลอดภัยจะภยันตราย สุขภาพ,ตำบลท่าราบ อำเภอเมืองเพชรบุรี จังหวัดเพชรบุรี ,"จ,อ,พ,พฤ,ศ,ส,อา ",8:00-18:00 น.,,"การเตรียมเครื่องบูชา
ดอกไม้สด: นิยมใช้ดอกมะลิ ดอกบัว หรือดอกกุหลาบสีขาว
ธูปและเทียน: ใช้ธูป 3 ดอก และเทียน 1 คู่
น้ำเปล่า: นำน้ำสะอาด 1 แก้วมาถวาย
พวงมาลัยดอกไม้: พวงมาลัยดอกไม้สดเพื่อถวายเป็นเครื่องบูชา
ผลไม้: ผลไม้สด เช่น กล้วย ส้ม หรือผลไม้ตามฤดูกาล
2. การตั้งจิตและเริ่มการบูชา
ตั้งจิตใจให้สงบ: ก่อนเริ่มสักการะ ควรนั่งให้จิตใจสงบ หายใจเข้าลึก ๆ และตั้งจิตอธิษฐานให้ชัดเจน",,เสริมดวง
วัดสุวรรณภูมิพุทธชยันตี 989,ความโดดเด่นของวัดสุวรรณภูมิพุทธชยันตี 989 คือการสร้างเป็น 4 สังเวชนียสถานจำลองในประเทศไทย เพื่อให้คนไทยสามารถสักการะสังเวชนียสถานได้โดยไม่ต้องเดินทางไปไกลถึงอินเดียและเนปาล มีการสร้างพระมหาเจดีย์พุทธคยา โดยใช้หินทรายเมืองคยามาสร้าง เป็นวัดที่ขอพรเรื่องความเจริญก้าวหน้า และเสริมสิริมงคลในชีวิต และเดินทางปลอดภัยแคล้วคลาด,989 หมู่ที่ 9 ซอยจระเข้ 8 ตำบลบางเสาธง จังหวัดสมุทรปราการ,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00 น. - 17.00 น.,,"ธูป, เทียน, ดอกไม้ พร้อมกล่าวคาถาบูชา",,เสริมดวง
วัดพระธาตุพนม,พระธาตุพนม เป็นที่เคารพสักการะในการขอพรเพื่อความเป็นสิริมงคลและความปลอดภัยในการเดินทาง,183/13 ถนนชยางกูร ตำบลธาตุพนม อำเภอธาตุพนม จังหวัดนครพนม,"จ,อ,พ,พฤ,ศ,ส,อา ", 6:00 น. - 21:00 น.,,กราบไหว้ขอพรตามดั่งปราถนา หรือถวายผ้าห่มพระธาตุพนม ตักบาตรคู่อายุ ถวายข้าวพืชภาค เสียค่าหัว พิธีเจริญพระพุทธมนต์ พิธีเวียนเทียนในทุกคืน เมื่อถึงเดือน 3 ข้างขึ้น,,เสริมดวง
